URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDigitsInURL,DigitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,IsLegit
140,23,0,3,0,0,0,0.0,99,0.707,19,0.136,2,1,0,11,0.1,1,0
27,20,0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
27,20,0,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,1,1
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
22,16,0,5,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,0
34,26,0,2,1,0,0,0.0,17,0.5,6,0.176,0,0,0,3,0.088,1,0
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
32,23,0,3,0,0,0,0.0,22,0.688,0,0.0,0,0,0,2,0.062,1,0
25,18,0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
24,18,0,3,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,0
19,12,0,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
36,12,0,5,0,0,0,0.0,21,0.583,4,0.111,0,0,0,3,0.083,1,0
21,14,0,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1
30,22,0,3,1,0,0,0.0,18,0.6,1,0.033,0,0,0,3,0.1,1,0
30,24,0,3,1,0,0,0.0,18,0.6,0,0.0,0,0,0,1,0.033,0,0
35,28,0,2,2,0,0,0.0,21,0.6,0,0.0,0,0,0,2,0.057,1,1
25,18,0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
17,10,0,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,1,1
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
25,18,0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
25,18,0,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
20,13,0,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1
30,24,0,3,2,0,0,0.0,17,0.567,0,0.0,0,0,0,2,0.067,0,0
23,17,0,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,0
22,15,0,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1
20,14,0,2,1,0,0,0.0,8,0.4,0,0.0,0,0,0,1,0.05,0,0
26,20,0,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0,0
26,17,0,3,1,0,0,0.0,15,0.577,0,0.0,0,0,0,3,0.115,1,0
28,21,0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1
34,27,0,2,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,1
23,16,0,3,1,0,0,0.0,9,0.391,1,0.043,0,0,0,1,0.043,1,1
92,16,0,3,1,1,9,0.098,35,0.38,39,0.424,0,0,3,7,0.109,1,0
34,27,0,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,1
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
36,28,0,3,1,0,0,0.0,25,0.694,1,0.028,0,0,0,2,0.056,1,0
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
15,8,0,3,0,0,0,0.0,7,0.467,0,0.0,0,0,0,1,0.067,0,0
51,45,0,3,3,0,0,0.0,33,0.647,1,0.02,0,0,0,6,0.118,0,0
27,20,0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
19,12,0,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1
31,24,0,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,1
34,25,0,3,1,0,0,0.0,16,0.471,6,0.176,0,0,0,4,0.118,1,0
22,15,0,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,1
19,12,0,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1
25,18,0,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
64,25,0,4,1,0,0,0.0,33,0.516,16,0.25,2,1,0,5,0.125,0,0
55,47,0,2,2,0,0,0.0,22,0.4,18,0.327,0,0,0,7,0.127,1,0
24,17,0,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
28,21,0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1
34,27,0,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,1
27,20,0,2,2,0,0,0.0,12,0.444,0,0.0,0,0,0,3,0.111,1,1
40,33,0,3,1,0,0,0.0,27,0.675,0,0.0,0,0,0,1,0.025,1,1
28,21,0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1
54,46,0,3,2,0,0,0.0,40,0.741,0,0.0,0,0,0,6,0.111,1,0
42,34,0,3,1,0,0,0.0,24,0.571,6,0.143,0,0,0,4,0.095,1,0
18,11,0,3,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,1
26,20,0,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0,0
45,37,0,3,1,0,0,0.0,16,0.356,19,0.422,0,0,0,2,0.044,1,0
30,23,0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
33,26,0,2,3,0,0,0.0,18,0.545,0,0.0,0,0,0,3,0.091,1,1
25,18,0,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
48,39,0,2,2,0,0,0.0,36,0.75,0,0.0,0,0,0,4,0.083,1,0
19,13,0,2,1,0,0,0.0,7,0.368,0,0.0,0,0,0,1,0.053,0,0
20,13,0,2,2,0,0,0.0,6,0.3,0,0.0,0,0,0,2,0.1,1,1
24,17,0,3,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,1
20,13,0,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1
34,27,0,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,1
26,17,0,3,1,0,0,0.0,15,0.577,0,0.0,0,0,0,3,0.115,1,0
28,21,0,5,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1
22,15,0,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
31,24,0,3,1,0,0,0.0,16,0.516,0,0.0,0,0,0,3,0.097,1,1
36,27,0,3,1,0,0,0.0,22,0.611,1,0.028,0,0,0,5,0.139,1,0
71,39,0,3,5,0,0,0.0,47,0.662,1,0.014,0,0,0,11,0.155,1,0
21,14,0,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1
47,41,0,2,1,0,0,0.0,18,0.383,17,0.362,0,0,0,1,0.021,0,0
30,23,0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
20,13,1,3,2,0,0,0.0,0,0.0,10,0.5,0,0,0,3,0.15,0,0
88,7,0,2,0,0,0,0.0,66,0.75,9,0.102,0,0,0,5,0.057,1,0
30,23,0,2,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
22,15,0,3,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,1
21,15,0,3,1,0,0,0.0,9,0.429,0,0.0,0,0,0,1,0.048,0,0
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
20,13,0,3,1,0,0,0.0,5,0.25,2,0.1,0,0,0,1,0.05,1,1
45,39,0,3,3,0,0,0.0,27,0.6,1,0.022,0,0,0,6,0.133,0,0
21,14,0,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,1
30,23,0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
34,27,0,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,1
20,13,0,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1
29,23,0,3,1,0,0,0.0,17,0.586,0,0.0,0,0,0,1,0.034,0,0
21,15,0,2,1,0,0,0.0,9,0.429,0,0.0,0,0,0,1,0.048,0,0
17,10,0,2,1,0,0,0.0,1,0.059,3,0.176,0,0,0,1,0.059,1,1
23,16,0,5,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
30,23,0,2,1,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,1,1
46,39,0,3,1,0,0,0.0,33,0.717,0,0.0,0,0,0,1,0.022,1,1
25,18,0,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
35,26,0,3,1,0,0,0.0,22,0.629,2,0.057,0,0,0,3,0.086,1,0
35,28,0,3,1,0,0,0.0,22,0.629,0,0.0,0,0,0,1,0.029,1,1
35,28,0,3,1,0,0,0.0,20,0.571,0,0.0,0,0,0,3,0.086,1,1
45,28,0,2,1,0,0,0.0,32,0.711,0,0.0,0,0,0,6,0.133,0,0
30,23,0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
43,34,0,3,1,0,0,0.0,31,0.721,0,0.0,0,0,0,4,0.093,1,0
23,16,0,3,2,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,1
37,31,0,4,1,0,0,0.0,19,0.514,4,0.108,0,0,0,3,0.081,0,0
20,13,0,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1
24,17,0,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
32,25,0,2,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,1
29,22,0,2,2,0,0,0.0,14,0.483,0,0.0,0,0,0,3,0.103,1,1
47,41,0,2,1,0,0,0.0,14,0.298,21,0.447,0,0,0,1,0.021,0,0
22,15,0,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1
23,17,0,2,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,0
26,19,0,2,2,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,1
22,15,0,4,1,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,1
77,25,0,2,2,0,0,0.0,59,0.766,2,0.026,0,0,0,9,0.117,0,0
21,14,0,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1
25,18,0,5,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
27,20,0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
23,17,0,2,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,0
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
98,26,0,3,0,0,0,0.0,74,0.755,6,0.061,3,1,0,6,0.102,1,0
26,19,0,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
38,31,0,3,1,0,0,0.0,25,0.658,0,0.0,0,0,0,1,0.026,1,1
39,32,0,3,1,0,0,0.0,26,0.667,0,0.0,0,0,0,1,0.026,1,1
27,20,0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
19,12,0,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1
28,22,0,3,1,0,0,0.0,19,0.679,0,0.0,0,0,0,2,0.071,0,0
25,18,0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
30,23,0,2,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
31,24,0,3,1,0,0,0.0,16,0.516,0,0.0,0,0,0,3,0.097,1,1
20,13,0,2,2,0,0,0.0,6,0.3,0,0.0,0,0,0,2,0.1,1,1
30,23,0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
23,16,0,4,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
29,22,0,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,1
22,15,0,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1
31,24,0,3,1,0,0,0.0,17,0.548,0,0.0,0,0,0,2,0.065,1,1
20,13,0,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1
24,17,0,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
33,25,0,3,1,0,0,0.0,16,0.485,6,0.182,0,0,0,3,0.091,1,0
30,23,0,2,2,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,1,1
33,26,0,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,1
29,22,0,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1
24,17,0,3,1,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,1
30,23,0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
25,18,0,2,2,0,0,0.0,10,0.4,1,0.04,0,0,0,2,0.08,1,1
27,20,0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
31,23,0,3,1,0,0,0.0,20,0.645,0,0.0,0,0,0,3,0.097,1,0
32,25,0,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,1
24,17,0,2,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,1
25,18,0,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
25,18,0,2,2,0,0,0.0,11,0.44,0,0.0,0,0,0,2,0.08,1,1
31,25,0,3,2,0,0,0.0,17,0.548,0,0.0,0,0,0,3,0.097,0,0
27,20,0,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,1,1
24,17,0,2,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,1
23,16,0,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
27,20,0,2,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
23,16,0,3,1,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,1
29,22,0,2,2,0,0,0.0,14,0.483,0,0.0,0,0,0,3,0.103,1,1
27,20,0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
30,23,0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
27,20,0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
35,28,0,2,1,0,0,0.0,21,0.6,0,0.0,0,0,0,2,0.057,1,1
20,13,0,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1
28,21,0,2,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1
41,33,0,4,1,0,0,0.0,31,0.756,0,0.0,0,0,0,2,0.049,1,0
73,29,0,3,0,0,0,0.0,53,0.726,2,0.027,2,1,0,7,0.137,1,0
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
23,16,0,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
27,21,0,4,2,0,0,0.0,14,0.519,0,0.0,0,0,0,2,0.074,0,0
28,21,0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
30,23,0,3,1,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,1,1
37,30,0,3,1,0,0,0.0,24,0.649,0,0.0,0,0,0,1,0.027,1,1
23,16,0,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
19,12,0,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1
29,22,0,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1
27,20,0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
36,29,0,3,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,1,1
23,17,0,2,2,0,0,0.0,10,0.435,0,0.0,0,0,0,2,0.087,0,0
18,11,0,2,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,1
20,13,0,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1
19,12,0,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1
23,16,0,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
19,13,0,3,1,0,0,0.0,7,0.368,0,0.0,0,0,0,1,0.053,0,0
20,14,0,3,1,0,0,0.0,8,0.4,0,0.0,0,0,0,1,0.05,0,0
32,26,0,2,2,0,0,0.0,19,0.594,0,0.0,0,0,0,2,0.062,0,0
30,23,0,2,2,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,1,1
23,16,0,6,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
21,15,0,3,1,0,0,0.0,9,0.429,0,0.0,0,0,0,1,0.048,0,0
20,13,0,2,2,0,0,0.0,6,0.3,0,0.0,0,0,0,2,0.1,1,1
26,19,0,2,2,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,1
29,22,0,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1
24,17,0,3,1,0,0,0.0,10,0.417,1,0.042,0,0,0,1,0.042,1,1
24,18,0,3,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,0
30,22,0,3,1,0,0,0.0,19,0.633,1,0.033,0,0,0,2,0.067,1,0
26,20,0,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0,0
46,21,0,3,1,0,0,0.0,30,0.652,0,0.0,0,0,0,4,0.087,1,0
46,24,0,3,1,0,0,0.0,33,0.717,1,0.022,0,0,0,4,0.087,1,0
24,18,0,3,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,0
23,16,0,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
28,18,0,4,1,0,0,0.0,13,0.464,0,0.0,0,0,0,3,0.107,1,0
28,21,0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1
25,18,0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
28,22,0,3,2,0,0,0.0,14,0.5,1,0.036,0,0,0,2,0.071,0,0
23,16,0,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
23,16,0,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
27,20,0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
71,23,0,3,0,0,0,0.0,54,0.761,6,0.085,0,0,0,3,0.042,1,0
33,26,0,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,1
28,21,0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1
58,52,0,3,2,0,0,0.0,40,0.69,0,0.0,0,0,0,7,0.121,0,0
30,24,0,2,3,0,0,0.0,16,0.533,0,0.0,0,0,0,3,0.1,0,0
30,23,0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
25,18,0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
19,12,0,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1
26,19,0,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
23,17,0,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,0
23,16,0,5,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1
40,34,0,2,2,0,0,0.0,30,0.75,0,0.0,0,0,0,3,0.075,0,0
28,21,0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1
25,17,0,3,1,0,0,0.0,14,0.56,0,0.0,0,0,0,3,0.12,1,0
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
22,16,0,3,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,0
37,30,0,3,1,0,0,0.0,24,0.649,0,0.0,0,0,0,1,0.027,1,1
32,25,0,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,1
26,18,0,3,1,0,0,0.0,11,0.423,4,0.154,0,0,0,3,0.115,1,0
21,14,0,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,1
58,25,0,3,1,0,0,0.0,28,0.483,17,0.293,0,0,0,6,0.103,0,0
32,25,0,2,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,1
32,25,0,2,1,0,0,0.0,17,0.531,0,0.0,0,0,0,3,0.094,1,1
31,24,0,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,1
24,17,0,2,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,1
32,25,0,2,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,1
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
28,22,0,3,1,0,0,0.0,16,0.571,0,0.0,0,0,0,1,0.036,0,0
27,20,0,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,1,1
32,26,0,3,2,0,0,0.0,18,0.562,1,0.031,0,0,0,2,0.062,0,0
119,44,0,3,2,0,0,0.0,81,0.681,16,0.134,0,0,0,14,0.118,1,0
29,22,0,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,1
20,13,0,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
20,10,0,2,0,0,0,0.0,8,0.4,0,0.0,0,0,0,4,0.2,1,0
30,24,0,2,3,0,0,0.0,16,0.533,0,0.0,0,0,0,3,0.1,0,0
15,9,0,2,1,0,0,0.0,3,0.2,0,0.0,0,0,0,1,0.067,0,0
29,22,0,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1
25,17,0,3,0,0,0,0.0,15,0.6,0,0.0,0,0,0,2,0.08,1,0
