URLLength,DomainLength,IsDomainIP,CharContinuationRate,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDigitsInURL,DigitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpecialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,URLTitleMatchScore,HasFavicon,Robots,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,IsLegit
22,14,0,1.0,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1465,1501,1,100.0,1,0,29,45,1,59,1
92,7,0,1.0,2,0,0,0,0.0,69,0.758,7,0.077,1,1,0,5,0.077,1,105,1607,1,2.53164557,1,0,6,0,0,2,0
40,32,0,0.607142857,3,1,0,0,0.0,16,0.4,12,0.3,0,0,0,5,0.125,0,13,119,1,0.0,0,0,0,1,0,1,0
25,17,0,1.0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1331,343,1,0.0,0,0,17,49,0,13,1
35,26,0,0.590909091,3,1,0,0,0.0,22,0.629,2,0.057,0,0,0,3,0.086,1,108,8125,1,0.0,0,0,0,0,0,3,0
24,16,0,0.777777778,2,2,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,2625,3976,1,0.0,1,0,20,137,0,23,1
33,25,0,1.0,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,3188,2683,1,0.0,0,0,20,93,0,9,1
20,13,0,1.0,3,1,0,0,0.0,7,0.368,0,0.0,0,0,0,1,0.053,0,2,179,1,0.0,0,0,0,1,0,1,0
20,12,0,1.0,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,229,171,1,100.0,0,0,8,7,0,4,1
28,21,0,1.0,3,1,0,0,0.0,15,0.556,0,0.0,0,0,0,1,0.037,0,2,2826,1,100.0,0,0,1,1,0,1,0
28,21,0,0.583333333,4,2,0,0,0.0,14,0.519,0,0.0,0,0,0,2,0.074,0,8,41,1,0.0,0,0,0,0,0,0,0
33,24,0,0.6,3,1,0,0,0.0,19,0.594,2,0.062,0,0,0,3,0.094,1,2,3306,1,0.0,0,0,1,1,0,1,0
25,17,0,1.0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,2262,739,1,100.0,0,0,24,266,0,369,1
30,22,0,1.0,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,3051,1021,1,100.0,0,0,18,71,0,283,1
42,33,0,0.482758621,3,1,0,0,0.0,25,0.61,3,0.073,0,0,0,5,0.122,1,108,8125,1,0.0,0,0,0,0,0,3,0
140,23,0,1.0,3,0,0,0,0.0,99,0.707,19,0.136,2,1,0,11,0.1,1,11,148,1,100.0,0,0,0,0,0,0,0
28,20,0,1.0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,325,569,1,100.0,1,0,1,21,1,21,1
28,20,0,0.769230769,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,1,567,1820,1,0.0,1,1,20,83,0,84,1
25,17,0,1.0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,301,263,1,100.0,0,0,5,39,0,12,1
23,16,0,1.0,5,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,2,30,0,0.0,0,0,0,0,0,0,0
35,26,0,0.826086957,2,1,0,0,0.0,17,0.5,6,0.176,0,0,0,3,0.088,1,141,161,1,0.0,0,0,0,0,0,3,0
25,17,0,1.0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,5194,2716,1,100.0,1,0,53,139,3,40,1
32,23,0,1.0,3,0,0,0,0.0,22,0.688,0,0.0,0,0,0,2,0.062,1,98,292,1,100.0,0,0,0,0,0,0,0
26,18,0,1.0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,3176,3960,1,100.0,1,0,7,260,0,124,1
25,18,0,1.0,3,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,2,479,1,100.0,0,0,0,0,0,0,0
19,12,0,1.0,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,3394,7250,1,0.0,1,0,8,142,1,91,1
26,19,0,1.0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,3304,25182,1,100.0,0,1,50,403,2,417,1
36,12,0,1.0,5,0,0,0,0.0,21,0.583,4,0.111,0,0,0,3,0.083,1,90,394,1,95.23809524,0,1,0,2,0,2,0
21,14,0,1.0,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,533,234,1,100.0,0,0,3,1,0,10,1
30,22,0,0.444444444,3,1,0,0,0.0,18,0.6,1,0.033,0,0,0,3,0.1,1,36,247,1,0.0,0,0,2,0,0,1,0
30,24,0,1.0,3,1,0,0,0.0,18,0.6,0,0.0,0,0,0,1,0.033,0,2,39,0,0.0,0,0,0,0,0,0,0
35,28,0,0.857142857,2,2,0,0,0.0,21,0.6,0,0.0,0,0,0,2,0.057,1,812,1057,1,0.0,0,0,5,22,2,11,1
25,18,0,1.0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1990,16389,1,100.0,0,1,29,268,0,297,1
17,10,0,1.0,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,1,1138,9530,1,0.0,0,1,19,143,8,159,1
24,17,0,1.0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,801,484,1,77.77777778,1,0,9,66,0,67,1
25,18,0,1.0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1103,556,1,0.0,0,0,8,34,2,24,1
25,18,0,1.0,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,4328,2624,1,0.0,1,0,10,406,0,444,1
20,13,0,1.0,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,3659,659,1,100.0,0,0,7,433,0,442,1
30,24,0,0.5625,3,2,0,0,0.0,17,0.567,0,0.0,0,0,0,2,0.067,0,9,42,1,0.0,0,0,0,0,0,0,0
23,17,0,1.0,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,2,32,0,0.0,0,0,0,0,0,0,0
22,15,0,1.0,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,2193,9477,1,100.0,1,0,9,347,2,43,1
20,14,0,1.0,2,1,0,0,0.0,8,0.4,0,0.0,0,0,0,1,0.05,0,11,74,1,100.0,0,0,0,0,0,1,0
26,20,0,0.923076923,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0,9,44,1,0.0,0,0,0,0,0,0,0
26,17,0,0.769230769,3,1,0,0,0.0,15,0.577,0,0.0,0,0,0,3,0.115,1,16,110,1,0.0,0,0,0,0,0,2,0
28,21,0,1.0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,662,377,1,100.0,1,0,11,71,23,48,1
34,27,0,1.0,2,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,3570,1902,1,0.0,0,1,29,133,0,167,1
23,16,0,1.0,3,1,0,0,0.0,9,0.391,1,0.043,0,0,0,1,0.043,1,7483,7543,1,100.0,1,0,10,721,0,726,1
92,16,0,0.916666667,3,1,1,9,0.098,35,0.38,39,0.424,0,0,3,7,0.109,1,3,204,0,1.298701299,0,0,0,0,0,0,0
34,27,0,1.0,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,1193,2503,1,100.0,1,0,20,81,6,94,1
26,19,0,1.0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,3600,17379,1,100.0,0,0,16,12,0,17,1
36,28,0,0.541666667,3,1,0,0,0.0,25,0.694,1,0.028,0,0,0,2,0.056,1,191,2456,0,0.0,0,0,0,0,1,1,0
26,19,0,1.0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,621,868,1,100.0,1,0,16,79,0,12,1
15,8,0,1.0,3,0,0,0,0.0,7,0.467,0,0.0,0,0,0,1,0.067,0,44,73,1,100.0,0,0,0,1,0,0,0
51,45,0,0.297297297,3,3,0,0,0.0,33,0.647,1,0.02,0,0,0,6,0.118,0,10,64,0,0.0,0,0,0,0,0,0,0
27,20,0,1.0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,2649,15774,1,100.0,1,0,14,89,0,22,1
19,12,0,1.0,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,11523,3757,1,100.0,1,0,49,145,3,19,1
31,24,0,1.0,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,534,1820,1,100.0,1,0,11,53,0,54,1
34,25,0,0.80952381,3,1,0,0,0.0,16,0.471,6,0.176,0,0,0,4,0.118,1,68,80,1,0.0,0,0,0,0,0,1,0
22,15,0,0.625,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,4140,1020,1,0.0,1,0,4,331,0,11,1
19,12,0,1.0,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,592,3145,1,100.0,0,1,25,25,0,29,1
25,18,0,1.0,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,420,273,1,0.0,1,0,20,80,2,14,1
64,25,0,0.6,4,1,0,0,0.0,33,0.516,16,0.25,2,1,0,5,0.125,0,2,72,0,2.0,0,0,0,0,0,0,0
55,47,0,0.227272727,2,2,0,0,0.0,22,0.4,18,0.327,0,0,0,7,0.127,1,17,665,1,0.0,0,0,3,0,0,0,0
24,17,0,1.0,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,2305,6852,1,0.0,1,1,7,74,0,20,1
24,17,0,1.0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,556,521,1,100.0,0,0,5,41,12,13,1
28,21,0,1.0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,740,5927,1,100.0,0,0,25,101,1,68,1
34,27,0,1.0,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,8418,9458,1,100.0,1,1,14,208,18,212,1
27,20,0,0.538461538,2,2,0,0,0.0,12,0.444,0,0.0,0,0,0,3,0.111,1,456,2808,1,0.0,1,1,17,5,2,32,1
40,33,0,1.0,3,1,0,0,0.0,27,0.675,0,0.0,0,0,0,1,0.025,1,329,630,1,0.0,0,0,10,0,2,9,1
28,21,0,1.0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,587,230,1,100.0,0,0,5,186,3,5,1
54,46,0,0.214285714,3,2,0,0,0.0,40,0.741,0,0.0,0,0,0,6,0.111,1,2,63,0,0.0,0,0,0,0,0,0,0
42,34,0,0.566666667,3,1,0,0,0.0,24,0.571,6,0.143,0,0,0,4,0.095,1,68,80,1,0.0,0,0,0,0,0,1,0
18,11,0,1.0,3,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,924,10597,1,100.0,1,0,8,74,0,6,1
26,20,0,0.923076923,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0,9,44,1,0.0,0,0,0,0,0,0,0
45,37,0,0.909090909,3,1,0,0,0.0,16,0.356,19,0.422,0,0,0,2,0.044,1,108,8125,1,0.0,0,0,0,0,0,3,0
30,23,0,1.0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,5790,29722,1,100.0,1,0,16,185,0,275,1
33,26,0,0.684210526,2,3,0,0,0.0,18,0.545,0,0.0,0,0,0,3,0.091,1,1646,26895,1,0.0,1,1,29,203,34,209,1
25,18,0,1.0,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1038,1598,1,0.0,1,1,2,100,0,83,1
48,39,0,0.666666667,2,2,0,0,0.0,36,0.75,0,0.0,0,0,0,4,0.083,1,198,869,1,0.0,0,0,0,0,0,2,0
19,13,0,1.0,2,1,0,0,0.0,7,0.368,0,0.0,0,0,0,1,0.053,0,20,207,1,100.0,0,0,0,0,0,0,0
20,13,0,0.666666667,2,2,0,0,0.0,6,0.3,0,0.0,0,0,0,2,0.1,1,271,102,1,0.0,1,0,14,6,0,1,1
24,17,0,0.666666667,3,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,498,688,1,0.0,0,0,6,6,0,29,1
20,13,0,1.0,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,157,255,1,100.0,0,0,7,8,0,3,1
34,27,0,1.0,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,3863,284,1,100.0,1,0,19,1,27,51,1
26,17,0,0.692307692,3,1,0,0,0.0,15,0.577,0,0.0,0,0,0,3,0.115,1,35,126,1,0.0,0,1,1,0,0,0,0
28,21,0,1.0,5,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,3088,14707,1,100.0,1,0,13,89,0,23,1
22,15,0,1.0,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,961,8047,1,100.0,1,1,15,76,0,103,1
26,19,0,1.0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,233,962,1,100.0,0,0,0,5,5,8,1
26,19,0,1.0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,4396,3968,1,100.0,0,0,17,140,1,73,1
31,24,0,0.4375,3,1,0,0,0.0,16,0.516,0,0.0,0,0,0,3,0.097,1,895,8047,1,0.0,0,1,48,54,1,53,1
36,27,0,0.565217391,3,1,0,0,0.0,22,0.611,1,0.028,0,0,0,5,0.139,1,2,2278,1,0.0,0,0,1,1,0,0,0
71,39,0,0.35483871,3,5,0,0,0.0,47,0.662,1,0.014,0,0,0,11,0.155,1,2,79,0,0.0,0,0,0,0,0,0,0
21,14,0,1.0,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,234,254,1,100.0,0,0,2,2,0,4,1
47,41,0,0.235294118,2,1,0,0,0.0,18,0.383,17,0.362,0,0,0,1,0.021,0,13,244,1,100.0,0,0,0,0,0,1,0
30,23,0,1.0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,540,2245,1,100.0,1,0,3,28,0,8,1
20,13,1,0.444444444,3,2,0,0,0.0,0,0.0,10,0.5,0,0,0,3,0.15,0,2,546,0,0.0,1,0,1,0,0,0,0
88,7,0,1.0,2,0,0,0,0.0,66,0.75,9,0.102,0,0,0,5,0.057,1,7,27983,0,0.0,0,0,0,0,0,0,0
30,23,0,1.0,2,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,183,240,1,0.0,0,0,5,13,0,7,1
22,15,0,0.571428571,3,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,852,2672,1,0.0,0,0,14,106,0,112,1
21,15,0,1.0,3,1,0,0,0.0,9,0.429,0,0.0,0,0,0,1,0.048,0,2,27,0,0.0,0,0,0,0,0,0,0
24,17,0,1.0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1868,3979,1,100.0,1,0,32,47,0,32,1
20,13,0,1.0,3,1,0,0,0.0,5,0.25,2,0.1,0,0,0,1,0.05,1,612,566,1,100.0,1,0,11,70,1,12,1
45,39,0,0.35483871,3,3,0,0,0.0,27,0.6,1,0.022,0,0,0,6,0.133,0,10,58,0,0.0,0,0,0,0,0,0,0
21,14,0,0.571428571,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,545,7545,1,0.0,1,0,21,40,0,22,1
30,23,0,1.0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,620,231,1,0.0,1,0,5,66,8,15,1
34,27,0,1.0,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,648,588,1,100.0,1,1,5,79,1,5,1
20,13,0,1.0,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,3235,2825,1,83.33333333,1,1,5,265,0,101,1
29,23,0,1.0,3,1,0,0,0.0,17,0.586,0,0.0,0,0,0,1,0.034,0,2,484,1,86.66666667,0,0,0,0,0,0,0
21,15,0,1.0,2,1,0,0,0.0,9,0.429,0,0.0,0,0,0,1,0.048,0,20,209,1,100.0,0,0,0,0,0,0,0
17,10,0,1.0,2,1,0,0,0.0,1,0.059,3,0.176,0,0,0,1,0.059,1,3278,815,1,66.66666667,1,0,18,300,1,303,1
23,16,0,1.0,5,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,763,479,1,100.0,1,0,11,10,4,121,1
30,23,0,0.625,2,1,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,1,2045,4742,1,0.0,0,1,13,160,3,162,1
46,39,0,1.0,3,1,0,0,0.0,33,0.717,0,0.0,0,0,0,1,0.022,1,496,1015,1,100.0,0,0,8,11,0,5,1
25,18,0,1.0,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,974,1496,1,100.0,1,1,2,10,0,183,1
35,26,0,0.590909091,3,1,0,0,0.0,22,0.629,2,0.057,0,0,0,3,0.086,1,108,8125,1,0.0,0,0,0,0,0,3,0
35,28,0,1.0,3,1,0,0,0.0,22,0.629,0,0.0,0,0,0,1,0.029,1,2136,3278,1,100.0,0,0,22,95,0,42,1
35,28,0,0.5,3,1,0,0,0.0,20,0.571,0,0.0,0,0,0,3,0.086,1,4799,2065,1,0.0,1,1,9,645,59,21,1
45,28,0,0.28,2,1,0,0,0.0,32,0.711,0,0.0,0,0,0,6,0.133,0,82,155,1,0.0,0,0,0,1,0,2,0
30,23,0,1.0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,435,291,1,100.0,1,0,76,74,1,8,1
43,34,0,0.6,3,1,0,0,0.0,31,0.721,0,0.0,0,0,0,4,0.093,1,13,73,1,0.0,0,0,0,0,0,1,0
23,16,0,0.625,3,2,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,917,491,1,0.0,1,0,2,42,0,26,1
37,31,0,0.863636364,4,1,0,0,0.0,19,0.514,4,0.108,0,0,0,3,0.081,0,2,46,0,4.545454545,0,0,0,0,0,0,0
20,13,0,1.0,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1374,915,1,100.0,1,1,14,101,1,92,1
24,17,0,1.0,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,312,157,1,100.0,1,0,2,37,0,9,1
32,25,0,0.833333333,2,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,890,186,1,0.0,1,0,13,42,0,11,1
29,22,0,0.533333333,2,2,0,0,0.0,14,0.483,0,0.0,0,0,0,3,0.103,1,743,419,1,0.0,0,1,11,0,1,54,1
47,41,0,0.264705882,2,1,0,0,0.0,14,0.298,21,0.447,0,0,0,1,0.021,0,13,244,1,100.0,0,0,0,0,0,1,0
22,15,0,1.0,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1395,1807,1,71.42857143,1,1,25,79,3,89,1
23,17,0,1.0,2,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,20,210,1,100.0,0,0,0,0,0,0,0
26,19,0,0.75,2,2,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,7254,2088,1,0.0,1,0,40,43,28,15,1
22,15,0,0.666666667,4,1,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,1581,1931,1,100.0,0,0,22,212,0,216,1
77,25,0,0.5,2,2,0,0,0.0,59,0.766,2,0.026,0,0,0,9,0.117,0,183,727,1,0.0,1,1,5,0,0,0,0
21,14,0,1.0,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,432,1553,1,100.0,1,1,6,50,2,62,1
25,18,0,1.0,5,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1794,2679,1,100.0,0,0,18,80,0,39,1
27,20,0,1.0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,2341,16460,1,100.0,1,0,18,52,3,19,1
23,17,0,1.0,2,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,20,211,1,100.0,0,0,0,0,0,0,0
26,19,0,1.0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,2654,3979,1,100.0,1,0,18,83,5,18,1
98,26,0,0.590909091,3,0,0,0,0.0,74,0.755,6,0.061,3,1,0,6,0.102,1,2,106,0,0.0,0,0,0,0,0,0,0
26,19,0,1.0,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,642,417,1,100.0,1,1,11,47,4,62,1
38,31,0,1.0,3,1,0,0,0.0,25,0.658,0,0.0,0,0,0,1,0.026,1,2722,9379,1,100.0,0,0,19,175,0,510,1
39,32,0,1.0,3,1,0,0,0.0,26,0.667,0,0.0,0,0,0,1,0.026,1,663,424,1,100.0,0,1,20,65,0,43,1
27,20,0,1.0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,393,2005,1,0.0,0,1,2,7,0,1,1
19,12,0,1.0,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,570,773,1,100.0,0,0,1,60,0,72,1
28,22,0,0.611111111,3,1,0,0,0.0,19,0.679,0,0.0,0,0,0,2,0.071,0,2,37,0,0.0,0,0,0,0,0,0,0
25,18,0,1.0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1185,9614,1,100.0,0,1,31,132,1,108,1
30,23,0,1.0,2,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,297,765,1,0.0,0,0,7,2,0,3,1
31,24,0,0.4375,3,1,0,0,0.0,16,0.516,0,0.0,0,0,0,3,0.097,1,1219,12649,1,100.0,0,1,30,105,11,115,1
20,13,0,0.666666667,2,2,0,0,0.0,6,0.3,0,0.0,0,0,0,2,0.1,1,2541,445,1,0.0,1,0,14,209,0,8,1
30,23,0,1.0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,15442,15789,1,100.0,0,0,13,719,0,375,1
23,16,0,1.0,4,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,849,1820,1,100.0,0,1,24,37,0,45,1
29,22,0,0.8,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,2124,854,1,0.0,1,0,1,115,6,8,1
22,15,0,1.0,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,711,7533,1,100.0,0,0,29,56,0,22,1
